,cluster,X,Y,INDEX_,ACCNUM,YEAR,DATE,TIME,HOUR,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,WARDNUM,DIVISION,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,POLICE_DIVISION,HOOD_ID,NEIGHBOURHOOD,ObjectId
11572,7,-8837436.41051502,5429390.20856939,80562661,5000009507,2015,2015/01/02 05:00:00+00,1830,18,BAYVIEW AVE,SHEPPARD AVE E,<Null>,Major Arterial,North York,"18,17","33,32",43.766577,-79.388042,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,Driver,45 to 49,Major,<Null>,North,"Automobile, Station Wagon",Going Ahead,Other,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D33,52,Bayview Village (52),11573
11574,7,-8827268.59954545,5426866.85693196,80181591,4003399258,2014,2014/11/30 05:00:00+00,1716,17,1240 WARDEN AVE,<Null>,<Null>,Major Arterial,Scarborough,21,41,43.750205,-79.296703,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Approaching,Driver,45 to 49,Major,<Null>,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D41,119,Wexford/Maryvale (119),11575
11575,6,-8827268.59954545,5426866.85693196,80181592,4003399258,2014,2014/11/30 05:00:00+00,1716,17,1240 WARDEN AVE,<Null>,<Null>,Major Arterial,Scarborough,21,41,43.750205,-79.296703,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Approaching,Driver,35 to 39,Minimal,<Null>,North,Pick Up Truck,Going Ahead,Lost control,"Ability Impaired, Drugs",<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D41,119,Wexford/Maryvale (119),11576
11576,4,-8835773.40864206,5420952.50947082,80631921,4003405816,2014,2014/12/01 05:00:00+00,1811,18,EGLINTON AVE E,HANNA RD,58 m West of,Major Arterial,North York,15,53,43.711814,-79.373103,Intersection,Non Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Approaching,Driver,25 to 29,Major,<Null>,East,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Unknown,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,D53,56,Leaside-Bennington (56),11577
11577,4,-8835773.40864206,5420952.50947082,80631922,4003405816,2014,2014/12/01 05:00:00+00,1811,18,EGLINTON AVE E,HANNA RD,58 m West of,Major Arterial,North York,15,53,43.711814,-79.373103,Intersection,Non Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Approaching,Driver,30 to 34,None,<Null>,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,D53,56,Leaside-Bennington (56),11578
11578,1,-8825443.4051744,5423512.44773519,80631923,4003410596,2014,2014/12/02 05:00:00+00,1335,13,CIVIC RD,SINNOTT RD,<Null>,Collector,Scarborough,20,41,43.728434,-79.280307,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,55 to 59,None,<Null>,East,School Bus,Turning Left,Lost control,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D41,120,Clairlea-Birchmount (120),11579
11581,6,-8859079.14591504,5417550.36920639,80631926,4003411081,2014,2014/12/02 05:00:00+00,1450,14,HIGHWAY 27  N,DIXON RD,100 m North of,Major Arterial,Etobicoke York,1,23,43.689719,-79.582462,Mid-Block,Non Intersection,No Control,Rain,Daylight,Wet,Non-Fatal Injury,Turning Movement,Truck Driver,25 to 29,Major,<Null>,North,Truck - Dump,Turning Right,Lost control,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D23,1,West Humber-Clairville (1),11582
11582,7,-8859079.14591504,5417550.36920639,80631927,4003411081,2014,2014/12/02 05:00:00+00,1450,14,HIGHWAY 27  N,DIXON RD,100 m North of,Major Arterial,Etobicoke York,1,23,43.689719,-79.582462,Mid-Block,Non Intersection,No Control,Rain,Daylight,Wet,Non-Fatal Injury,Turning Movement,Truck Driver,40 to 44,None,<Null>,South,Truck - Dump,Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D23,1,West Humber-Clairville (1),11583
11583,6,-8856564.32729853,5424465.75181807,80631928,4003419867,2014,2014/12/03 05:00:00+00,2153,21,ALBION RD,THISTLE DOWN BLVD,100 m East of,Major Arterial,Etobicoke York,1,23,43.734622,-79.559871,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Approaching,Driver,20 to 24,Minor,<Null>,West,Delivery Van,Going Ahead,Lost control,Fatigue,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D23,3,Thistletown-Beaumond Heights (3),11584
11584,7,-8856564.32729853,5424465.75181807,80631929,4003419867,2014,2014/12/03 05:00:00+00,2153,21,ALBION RD,THISTLE DOWN BLVD,100 m East of,Major Arterial,Etobicoke York,1,23,43.734622,-79.559871,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Approaching,Driver,35 to 39,Major,<Null>,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D23,3,Thistletown-Beaumond Heights (3),11585
11585,6,-8824701.12680979,5434394.56604701,80631930,4003437550,2014,2014/12/06 05:00:00+00,1906,19,BRIMLEY RD,HUNTINGWOOD DR,46 m North of,Major Arterial,Scarborough,23,42,43.799033,-79.273639,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,Driver,55 to 59,Major,<Null>,South,"Automobile, Station Wagon",Going Ahead,Lost control,Medical or Physical Disability,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,D42,129,Agincourt North (129),11586
11587,8,-8827357.76645757,5423082.35312021,80224304,4003439452,2014,2014/12/07 05:00:00+00,215,2,EGLINTON AVE E,PHARMACY AVE,<Null>,Major Arterial,Scarborough,"21,20",41,43.725642,-79.297504,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,Driver,30 to 34,Minor,<Null>,West,"Automobile, Station Wagon",Going Ahead,Exceeding Speed Limit,"Ability Impaired, Alcohol Over .08",<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,Yes,Yes,Yes,<Null>,Yes,<Null>,D41,119,Wexford/Maryvale (119),11588
11588,3,-8827357.76645757,5423082.35312021,80224305,4003439452,2014,2014/12/07 05:00:00+00,215,2,EGLINTON AVE E,PHARMACY AVE,<Null>,Major Arterial,Scarborough,"21,20",41,43.725642,-79.297504,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,Truck Driver,45 to 49,None,<Null>,East,Truck-Tractor,Turning Left,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,Yes,Yes,Yes,<Null>,Yes,<Null>,D41,119,Wexford/Maryvale (119),11589
11591,6,-8824524.4627779,5425628.86073796,8000222,143440580,2014,2014/12/07 05:00:00+00,944,9,KENNEDY RD,RANSTONE GDNS,<Null>,Major Arterial,Scarborough,21,41,43.742171,-79.272052,Intersection,<Null>,Traffic Signal,Clear,Daylight,Dry,Fatal,Approaching,Driver,80 to 84,Fatal,46,South,"Automobile, Station Wagon",Going Ahead,Lost control,Unknown,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D41,125,Ionview (125),11592
11592,7,-8824524.4627779,5425628.86073796,8000223,143440580,2014,2014/12/07 05:00:00+00,944,9,KENNEDY RD,RANSTONE GDNS,<Null>,Major Arterial,Scarborough,21,41,43.742171,-79.272052,Intersection,<Null>,Traffic Signal,Clear,Daylight,Dry,Fatal,Approaching,Driver,60 to 64,None,<Null>,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D41,125,Ionview (125),11593
11593,7,-8824524.4627779,5425628.86073796,8000224,143440580,2014,2014/12/07 05:00:00+00,944,9,KENNEDY RD,RANSTONE GDNS,<Null>,Major Arterial,Scarborough,21,41,43.742171,-79.272052,Intersection,<Null>,Traffic Signal,Clear,Daylight,Dry,Fatal,Approaching,Truck Driver,50 to 54,None,<Null>,North,Tow Truck,Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D41,125,Ionview (125),11594
11594,0,-8837261.41627549,5418850.10209119,80199676,4000047040,2014,2014/12/08 05:00:00+00,1700,17,MT PLEASANT RD,MERTON ST,<Null>,Major Arterial,North York,"12,15",53,43.698161,-79.38647,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,75 to 79,None,<Null>,North,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D53,99,Mount Pleasant East (99),11595
11596,0,-8837258.07669076,5418841.32574031,81152649,5000047040,2014,2014/12/08 05:00:00+00,1700,17,MOUNT PLEASANT RD,MERTON ST,<Null>,Major Arterial,North York,"12,15",53,43.698104,-79.38644,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,75 to 79,None,<Null>,North,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D53,99,Mount Pleasant East (99),11597
11598,6,-8833412.43356182,5430535.28459586,80485881,4003465091,2014,2014/12/11 05:00:00+00,1100,11,SHEPPARD AVE E,DON MILLS RD,<Null>,Major Arterial,North York,17,33,43.774005,-79.351894,Mid-Block,Non Intersection,No Control,Snow,Daylight,Packed Snow,Non-Fatal Injury,Sideswipe,Driver,30 to 34,Major,<Null>,West,"Automobile, Station Wagon",Going Ahead,Lost control,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D33,53,Henry Farm (53),11599
11599,6,-8833412.43356182,5430535.28459586,80545150,4003465091,2014,2014/12/11 05:00:00+00,1100,11,SHEPPARD AVE E,DON MILLS RD,<Null>,Major Arterial,North York,17,33,43.774005,-79.351894,Mid-Block,Non Intersection,No Control,Snow,Daylight,Packed Snow,Non-Fatal Injury,Sideswipe,Driver,unknown,None,<Null>,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Unknown,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D33,53,Henry Farm (53),11600
11600,0,-8834040.83208735,5436380.34789171,80224655,4003469913,2014,2014/12/12 05:00:00+00,720,7,STEELES AVE E,TOWNSEND RD,<Null>,Major Arterial,North York,17,33,43.811907,-79.357539,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,60 to 64,None,<Null>,East,<Null>,Going Ahead,Failed to Yield Right of Way,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D33,48,Hillcrest Village (48),11601
11603,4,-8831837.81936455,5430815.1006426,8000209,143471771,2014,2014/12/12 05:00:00+00,1320,13,SHEPPARD AVE E,404 N SHEPPARD W RAMP,<Null>,Major Arterial,North York,17,33,43.77582,-79.337749,Intersection,<Null>,Traffic Signal,Clear,Daylight,Wet,Fatal,Turning Movement,Driver,20 to 24,Minimal,<Null>,West,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,Yes,<Null>,<Null>,D33,46,Pleasant View (46),11604
11604,4,-8831837.81936455,5430815.1006426,8000210,143471771,2014,2014/12/12 05:00:00+00,1320,13,SHEPPARD AVE E,404 N SHEPPARD W RAMP,<Null>,Major Arterial,North York,17,33,43.77582,-79.337749,Intersection,<Null>,Traffic Signal,Clear,Daylight,Wet,Fatal,Turning Movement,Driver,40 to 44,Minor,<Null>,East,"Automobile, Station Wagon",Turning Left,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,Yes,<Null>,<Null>,D33,46,Pleasant View (46),11605
11606,9,-8830753.23356575,5418228.6954781,8000214,143474139,2014,2014/12/12 05:00:00+00,1840,18,COXWELL AVE,COSBURN AVE,<Null>,Minor Arterial,Toronto and East York,"14,19",54,43.694125,-79.328006,Intersection,At Intersection,Traffic Signal,Clear,"Dusk, artificial",Dry,Fatal,Pedestrian Collisions,Driver,75 to 79,None,<Null>,North,"Automobile, Station Wagon",Turning Left,Improper Turn,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D54,59,Danforth East York (59),11607
11609,1,-8854020.67693391,5409532.31334476,80631932,4003487975,2014,2014/12/15 05:00:00+00,725,7,SUBWAY CRES,AUKLAND RD,4 m West of,Collector,Etobicoke York,3,22,43.637614,-79.537021,Intersection,At Intersection,Stop Sign,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,65 to 69,None,<Null>,East,"Automobile, Station Wagon",Going Ahead,Failed to Yield Right of Way,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D22,14,Islington-City Centre West (14),11610
11613,7,-8843558.98250865,5415729.48049066,80183108,4003498374,2014,2014/12/16 05:00:00+00,1850,18,ST CLAIR AVE W,DUFFERIN ST,<Null>,Major Arterial,Toronto and East York,9,13,43.67789,-79.443042,Intersection,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,50 to 54,None,<Null>,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D13,92,Corso Italia-Davenport (92),11614
11615,9,-8856731.6404932,5424577.29544869,80183114,4003498466,2014,2014/12/16 05:00:00+00,1910,19,ALBION RD,RIVERDALE DR,<Null>,Major Arterial,Etobicoke York,1,23,43.735346,-79.561374,Intersection,Intersection Related,Traffic Signal,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,45 to 49,None,<Null>,North,"Automobile, Station Wagon",Turning Left,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D23,3,Thistletown-Beaumond Heights (3),11616
11621,7,-8843962.40434328,5432782.06942016,8000212,143507481,2014,2014/12/18 05:00:00+00,843,8,6030 BATHURST ST,<Null>,<Null>,Major Arterial,North York,"6,18",32,43.788577,-79.446666,Mid-Block,<Null>,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Driver,25 to 29,None,<Null>,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D32,36,Newtonbrook West (36),11622
11623,0,-8819575.6434952,5437050.6497322,80485918,4003516677,2014,2014/12/19 05:00:00+00,1740,17,FINCH AVE E,NEILSON RD,<Null>,Minor Arterial,Scarborough,"23,25",42,43.816252,-79.227596,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Driver,25 to 29,None,<Null>,North,Municipal Transit Bus (TTC),Turning Right,Failed to Yield Right of Way,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D42,132,Malvern (132),11624
11625,7,-8859106.3078708,5425775.24196731,80631938,4003518072,2014,2014/12/19 05:00:00+00,2228,22,KIPLING AVE,FINCH AVE W,<Null>,Major Arterial,Etobicoke York,1,23,43.743121,-79.582706,Mid-Block,Non Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,45 to 49,None,<Null>,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D23,2,Mount Olive-Silverstone-Jamestown (2),11626
11630,7,-8822861.57222443,5428204.89328047,80631940,4003523985,2014,2014/12/20 05:00:00+00,2308,23,BRIMLEY RD,DORCOT AVE,<Null>,Major Arterial,Scarborough,21,"41,43",43.758887,-79.257114,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,25 to 29,Minimal,<Null>,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D43,127,Bendale (127),11631
11634,6,-8819071.92279936,5427292.50466296,80631944,4003526196,2014,2014/12/21 05:00:00+00,1132,11,MARKHAM RD,BLAKEMANOR BLVD,246 m North of,Major Arterial,Scarborough,24,43,43.752967,-79.223071,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Driver,60 to 64,Major,<Null>,South,"Automobile, Station Wagon",Other,Lost control,Medical or Physical Disability,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,D43,137,Woburn (137),11635
11639,6,-8842037.02243052,5430936.89650588,80631949,4003538412,2014,2014/12/23 05:00:00+00,1447,14,FINCH AVE W,SENLAC RD,49 m East of,Major Arterial,North York,18,32,43.77661,-79.42937,Mid-Block,Non Intersection,No Control,Rain,Daylight,Wet,Non-Fatal Injury,SMV Other,Driver,80 to 84,Major,<Null>,East,Passenger Van,Going Ahead,Lost control,Medical or Physical Disability,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,D32,37,Willowdale West (37),11640
11641,0,-8837261.41627549,5418850.10209119,80225641,4003538995,2014,2014/12/23 05:00:00+00,1638,16,MOUNT PLEASANT RD,MERTON ST,<Null>,Major Arterial,North York,"12,15",53,43.698161,-79.38647,Intersection,At Intersection,Traffic Signal,Rain,Dusk,Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,80 to 84,None,<Null>,East,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D53,99,Mount Pleasant East (99),11642
11643,0,-8829001.95533659,5434139.7802149,80225696,4003541767,2014,2014/12/24 05:00:00+00,635,6,FINCH AVE E,BRIDLETOWNE CRCL,<Null>,Major Arterial,Scarborough,22,42,43.797381,-79.312274,Intersection,At Intersection,Traffic Signal,"Fog, Mist, Smoke, Dust","Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,55 to 59,None,<Null>,East,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D42,117,L'Amoreaux (117),11644
11645,0,-8824567.76605982,5438087.12957918,80631951,4003544666,2014,2014/12/24 05:00:00+00,1800,18,ALTON TOWERS CRCL,INGLETON BLVD,<Null>,Collector,Scarborough,23,42,43.82297,-79.272441,Intersection,At Intersection,Pedestrian Crossover,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,unknown,None,<Null>,West,<Null>,Going Ahead,Failed to Yield Right of Way,Unknown,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D42,130,Milliken (130),11646
11647,9,-8824870.10979682,5439322.01659903,80631953,4003549384,2014,2014/12/25 05:00:00+00,2150,21,MCCOWAN RD,STEELES AVE E,<Null>,Major Arterial,Scarborough,23,42,43.830973,-79.275157,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,Driver,25 to 29,None,<Null>,North,"Automobile, Station Wagon",Turning Left,Lost control,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D42,130,Milliken (130),11648
11648,5,-8824870.10979682,5439322.01659903,80631954,4003549384,2014,2014/12/25 05:00:00+00,2150,21,MCCOWAN RD,STEELES AVE E,<Null>,Major Arterial,Scarborough,23,42,43.830973,-79.275157,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,Driver,40 to 44,None,<Null>,East,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D42,130,Milliken (130),11649
11649,5,-8824870.10979682,5439322.01659903,80631955,4003549384,2014,2014/12/25 05:00:00+00,2150,21,MCCOWAN RD,STEELES AVE E,<Null>,Major Arterial,Scarborough,23,42,43.830973,-79.275157,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,Driver,50 to 54,None,<Null>,East,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D42,130,Milliken (130),11650
11653,7,-8829359.51354102,5430999.18260718,80485972,4003563376,2014,2014/12/28 05:00:00+00,1809,18,SHEPPARD AVE E,BRIDLEWOOD BLVD,37 m West of,Major Arterial,Scarborough,22,42,43.777014,-79.315486,Intersection,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,Truck Driver,20 to 24,None,<Null>,East,Truck (other),Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D42,118,Tam O'Shanter-Sullivan (118),11654
11657,3,-8830839.84012959,5427276.0146856,80560996,5000679960,2015,2015/04/24 04:00:00+00,1810,18,BROOKBANKS DR,UNDERHILL DR,<Null>,Collector,North York,16,33,43.75286,-79.328784,Mid-Block,Trail,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Driver,25 to 29,Major,<Null>,South,Off Road - 2 Wheels,Going Ahead,Speed too Fast For Condition,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,D33,45,Parkwoods-Donalda (45),11658
11659,9,-8845800.28913628,5432791.4758605,80485564,4002886498,2014,2014/09/11 04:00:00+00,625,6,STEELES AVE W,CONLEY ST,<Null>,Major Arterial,North York,6,32,43.788638,-79.463176,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Wet,Non-Fatal Injury,Turning Movement,Driver,60 to 64,None,<Null>,East,Pick Up Truck,Turning Left,Improper Turn,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D32,35,Westminster-Branson (35),11660
